age,gender,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,workout_type,fat_percentage,water_intake,workout_frequency,experience_level,bmi,age_category,weight_category,bmi_category,hrr,intensity,cardio_load,weekly_cardio_load,bpm_efficiency,calories_per_min,calories_per_kg,fat_burn_efficiency,weight_height_ratio,bmi_age_interaction,weight_age_ratio,fat_risk_score,water_per_session,water_per_kg,hydration_score,experience_intensity_ratio,experience_load,experience_frequency_score
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2,50-100,80-99,obesity,120,0.8083333333333333,1.3660833333333333,5.464333333333333,8.363057324840764,776.9230769230769,14.869762174405437,628.0128205128206,51.63742690058479,1691.2,1.5767857142857142,1559.4502923976609,0.875,0.039637599093997736,0.5177514792899408,2.425,4.09825,12
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0,40-49,60-79,obesity,113,0.7522123893805309,0.9778761061946902,3.911504424778761,5.847682119205298,679.2307692307692,11.7890520694259,510.9257998638529,48.954248366013076,1472.0,1.6282608695652174,1566.5359477124184,0.525,0.028037383177570093,0.40384615384615385,1.5044247787610618,1.9557522123893805,8
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71,30-39,60-79,healthy,113,0.6017699115044248,0.6679646017699116,2.6718584070796463,5.549180327868853,609.9099099099099,9.941262848751837,367.02543251215815,41.024096385542165,790.72,2.128125,1013.7054216867471,0.575,0.033773861967694566,0.518018018018018,1.2035398230088497,1.3359292035398231,8
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41,0-29,40-59,under weight,134,0.8059701492537313,0.4755223880597015,1.4265671641791045,3.2439024390243905,901.6949152542373,10.0,726.7391854287883,31.294117647058826,460.25,2.128,576.1247058823529,0.7000000000000001,0.039473684210526314,1.1864406779661019,0.8059701492537313,0.4755223880597015,3
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39,30-39,40-59,under weight,120,0.75,0.48,1.44,3.518987341772152,868.75,12.060737527114966,651.5625,25.75418994413408,546.82,1.2131578947368422,370.6027932960894,0.9333333333333332,0.06073752711496746,1.4583333333333333,0.75,0.48,3
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55,50-100,40-59,healthy,94,0.8723404255319149,1.3870212765957448,6.935106382978724,7.153846153846154,701.8867924528302,19.24137931034483,612.2842232035327,34.523809523809526,1150.8,1.0357142857142858,709.4642857142858,0.54,0.04655172413793104,0.33962264150943394,2.617021276595745,4.161063829787235,15
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76,30-39,60-79,healthy,101,0.9504950495049505,1.4162376237623762,4.248712871287129,8.195266272189349,929.5302013422819,19.70128022759602,883.5138547411788,40.872093023255815,855.36,1.9527777777777777,971.1209302325582,0.7666666666666666,0.032716927453769556,0.5145413870246085,1.900990099009901,2.8324752475247523,6
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57,40-49,60-79,obesity,125,0.616,0.78232,2.34696,6.347517730496454,704.7244094488188,12.840746054519368,434.1102362204724,46.158940397350996,1222.8,1.7425000000000002,1411.07880794702,0.6333333333333333,0.027259684361549495,0.4986876640419947,1.232,1.56464,6
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.34,0-29,100-130,obesity,133,0.5639097744360902,0.580827067669173,2.323308270676692,5.661417322834645,698.0582524271845,5.90797041906327,393.64187166946493,62.7319587628866,905.5200000000001,4.3464285714285715,2028.751546391753,0.65,0.021364009860312245,0.6310679611650486,1.1278195488721805,1.161654135338346,8
28,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.07,0-29,100-130,obesity,105,0.6857142857142857,0.7405714285714287,2.221714285714286,5.9411764705882355,748.1481481481482,7.93713163064833,513.015873015873,55.326086956521735,841.96,3.6357142857142857,1663.6554347826084,0.9,0.02652259332023576,0.8333333333333333,0.6857142857142857,0.7405714285714287,3
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31,40-49,100-130,sever obesity,134,0.6865671641791045,0.5629850746268656,1.1259701492537313,4.061643835616438,723.1707317073171,4.908940397350993,496.5052784856207,72.33532934131736,1775.71,2.946341463414634,3132.843113772455,1.5,0.024834437086092717,1.829268292682927,0.6865671641791045,0.5629850746268656,2
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89,50-100,40-59,under weight,103,0.7766990291262136,0.8932038834951456,2.6796116504854366,5.690789473684211,752.1739130434784,16.731141199226304,584.2127479949346,30.411764705882355,948.1700000000001,0.9754716981132076,544.0664705882353,1.1666666666666667,0.06769825918762089,1.0144927536231885,1.5533980582524272,1.7864077669902911,6
