age,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,fat_percentage,water_intake,workout_frequency,experience_level,bmi,gender_Female,gender_Male,workout_type_Cardio,workout_type_HIIT,workout_type_Strength,workout_type_Yoga,age_category_0-29,age_category_30-39,age_category_40-49,age_category_50-100,weight_category_100-130,weight_category_40-59,weight_category_60-79,weight_category_80-99,bmi_category_healthy,bmi_category_obesity,bmi_category_overweight,bmi_category_sever obesity,bmi_category_under weight,hrr,intensity,calories_per_min,water_per_session,experience_intensity_ratio
56,88.3,1.71,180,157,60,1.69,1313.0,12.6,3.5,4,3,301973.256728566,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,120,0.8083333333333333,776.9230769230769,0.875,2.425
46,74.9,1.53,179,151,66,1.3,883.0,33.9,2.1,4,2,319962.4076210004,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,113,0.7522123893805309,679.2307692307692,0.525,1.5044247787610618
32,68.1,1.66,167,122,54,1.11,677.0,33.4,2.3,4,2,247133.1107562781,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,113,0.6017699115044248,609.9099099099099,0.575,1.2035398230088497
25,53.2,1.7,190,164,56,0.59,532.0,28.8,2.1,3,1,184083.04498269895,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,134,0.8059701492537313,901.6949152542373,0.7000000000000001,0.8059701492537313
38,46.1,1.79,188,158,68,0.64,556.0,29.2,2.8,3,1,143878.1561124809,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,120,0.75,868.75,0.9333333333333332,0.75
56,58.0,1.68,168,156,74,1.59,1116.0,15.5,2.7,5,3,205498.86621315195,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,94,0.8723404255319149,701.8867924528302,0.54,2.617021276595745
36,70.3,1.72,174,169,73,1.49,1385.0,21.3,2.3,3,2,237628.4478096268,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,101,0.9504950495049505,929.5302013422819,0.7666666666666666,1.900990099009901
40,69.7,1.51,189,141,64,1.27,895.0,30.6,1.9,3,2,305688.3470023245,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,125,0.616,704.7244094488188,0.6333333333333333,1.232
28,121.7,1.94,185,127,52,1.03,719.0,28.9,2.6,4,2,323360.6121798278,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,133,0.5639097744360902,698.0582524271845,0.65,1.1278195488721805
28,101.8,1.84,169,136,64,1.08,808.0,29.7,2.7,3,1,300685.2551984877,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,105,0.6857142857142857,748.1481481481482,0.9,0.6857142857142857
41,120.8,1.67,188,146,54,0.82,593.0,20.5,3.0,2,1,433145.6846785471,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,134,0.6865671641791045,723.1707317073171,1.5,0.6865671641791045
53,51.7,1.7,175,152,72,1.15,865.0,23.6,3.5,3,2,178892.73356401382,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,103,0.7766990291262136,752.1739130434784,1.1666666666666667,1.5533980582524272
57,112.5,1.61,195,165,61,1.24,1013.0,22.1,2.7,3,2,434011.03352494113,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,134,0.7761194029850746,816.9354838709678,0.9,1.5522388059701493
41,94.5,2.0,179,136,69,1.18,794.0,27.6,3.7,3,1,236250.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,110,0.6090909090909091,672.8813559322034,1.2333333333333334,0.6090909090909091
20,117.7,1.81,196,161,54,1.35,1195.0,26.4,3.3,3,2,359268.6425933274,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,142,0.7535211267605634,885.1851851851851,1.0999999999999999,1.5070422535211268
39,42.5,1.75,181,131,52,1.13,740.0,26.2,2.1,2,1,138775.5102040816,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,129,0.6124031007751938,654.8672566371682,1.05,0.6124031007751938
19,64.0,1.53,166,167,58,1.33,1111.0,29.8,2.3,3,2,273399.11999658245,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,108,1.0092592592592593,835.3383458646616,0.7666666666666666,2.0185185185185186
41,43.8,1.77,182,165,58,1.19,884.0,31.9,1.6,3,1,139806.5689935842,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,124,0.8629032258064516,742.8571428571429,0.5333333333333333,0.8629032258064516
