age,gender,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,workout_type,water_intake,workout_frequency,experience_level,bmi,age_category,weight_category,bmi_category,hrr,intensity,cardio_load,weekly_cardio_load,bpm_efficiency,calories_per_min,calories_per_kg,fat_burn_efficiency,weight_height_ratio,bmi_age_interaction,weight_age_ratio,fat_risk_score,water_per_session,water_per_kg,hydration_score,experience_intensity_ratio,experience_load,experience_frequency_score
20.0,Male,55.0,1.6,172.0,168.0,67.0,1.12,1035.0,Yoga,3.2,4.0,2.0,21.48,0-29,40-59,healthy,105.0,0.9619047619047619,1.0773333333333335,4.309333333333334,6.160714285714286,924.1071428571428,18.818181818181817,888.9030612244898,34.375,429.6,2.75,738.375,0.8,0.05818181818181818,0.7142857142857143,1.9238095238095239,2.154666666666667,8.0
39.0,Female,60.6,1.65,162.0,167.0,63.0,0.92,768.0,HIIT,1.7,3.0,1.0,22.26,30-39,60-79,healthy,99.0,1.0505050505050506,0.9664646464646466,2.89939393939394,4.598802395209581,834.7826086956521,12.673267326732672,876.943346508564,36.72727272727273,868.1400000000001,1.5538461538461539,817.549090909091,0.5666666666666667,0.028052805280528052,0.6159420289855072,1.0505050505050506,0.9664646464646466,3.0
54.0,Female,75.6,1.72,194.0,154.0,60.0,0.97,672.0,Cardio,1.9,3.0,1.0,25.55,50-100,60-79,overweight,134.0,0.7014925373134329,0.6804477611940298,2.0413432835820897,4.363636363636363,692.7835051546392,8.88888888888889,485.98245883982156,43.95348837209302,1379.7,1.4,1123.0116279069766,0.6333333333333333,0.025132275132275134,0.6529209621993127,0.7014925373134329,0.6804477611940298,3.0
24.0,Female,58.9,1.51,187.0,157.0,68.0,1.04,816.0,Cardio,2.5,2.0,1.0,25.83,0-29,40-59,overweight,119.0,0.7478991596638656,0.7778151260504202,1.5556302521008405,5.197452229299363,784.6153846153846,13.853989813242785,586.8131868131868,39.00662251655629,619.92,2.4541666666666666,1007.5410596026489,1.25,0.042444821731748725,1.2019230769230769,0.7478991596638656,0.7778151260504202,2.0
20.0,Female,65.4,1.52,185.0,127.0,50.0,1.03,654.0,Yoga,2.2,4.0,2.0,28.31,0-29,60-79,overweight,135.0,0.5703703703703704,0.5874814814814815,2.349925925925926,5.149606299212598,634.9514563106796,10.0,362.1574973031284,43.026315789473685,566.1999999999999,3.2700000000000005,1218.075,0.55,0.03363914373088685,0.5339805825242718,1.1407407407407408,1.174962962962963,8.0
19.0,Female,64.3,1.63,197.0,132.0,57.0,1.87,1234.0,Cardio,2.7,5.0,3.0,24.2,0-29,60-79,healthy,140.0,0.5357142857142857,1.0017857142857143,5.008928571428571,9.348484848484848,659.8930481283422,19.191290824261277,353.5141329258976,39.4478527607362,459.8,3.384210526315789,954.638036809816,0.54,0.04199066874027994,0.2887700534759358,1.6071428571428572,3.005357142857143,15.0
19.0,Female,65.2,1.52,188.0,130.0,71.0,1.23,800.0,Cardio,2.4,3.0,1.0,28.22,0-29,60-79,overweight,117.0,0.5042735042735043,0.6202564102564102,1.8607692307692307,6.153846153846154,650.4065040650406,12.269938650306749,327.98276700715724,42.89473684210527,536.18,3.431578947368421,1210.4894736842105,0.7999999999999999,0.03680981595092024,0.6504065040650406,0.5042735042735043,0.6202564102564102,3.0
54.0,Male,78.4,1.9,174.0,146.0,72.0,0.81,585.0,Yoga,3.7,2.0,1.0,21.72,50-100,60-79,healthy,102.0,0.7254901960784313,0.5876470588235294,1.1752941176470588,4.006849315068493,722.2222222222222,7.461734693877551,523.9651416122003,41.26315789473685,1172.8799999999999,1.451851851851852,896.2357894736842,1.85,0.047193877551020405,2.2839506172839505,0.7254901960784313,0.5876470588235294,2.0
53.0,Female,52.4,1.57,171.0,149.0,71.0,1.34,898.0,HIIT,2.2,3.0,2.0,21.26,50-100,40-59,healthy,100.0,0.78,1.0452000000000001,3.1356,6.026845637583893,670.1492537313433,17.137404580152673,522.7164179104477,33.37579617834395,1126.78,0.9886792452830189,709.5694267515923,0.7333333333333334,0.04198473282442749,0.5472636815920399,1.56,2.0904000000000003,6.0
30.0,Male,113.4,1.91,177.0,137.0,54.0,1.27,957.0,HIIT,3.7,3.0,1.0,31.08,30-39,100-130,obesity,123.0,0.6747967479674797,0.8569918699186992,2.570975609756098,6.985401459854015,753.5433070866142,8.439153439153438,508.4885730747071,59.37172774869111,932.4,3.7800000000000002,1845.2732984293195,1.2333333333333334,0.03262786596119929,0.9711286089238845,0.6747967479674797,0.8569918699186992,3.0
22.0,Male,86.2,1.9,186.0,128.0,58.0,1.91,1345.0,Strength,3.5,5.0,3.0,23.88,0-29,80-99,healthy,128.0,0.546875,1.04453125,5.22265625,10.5078125,704.1884816753927,15.603248259860788,385.1030759162304,45.36842105263158,525.36,3.9181818181818184,1083.3978947368423,0.7,0.04060324825986079,0.36649214659685864,1.640625,3.1335937499999997,15.0
