age,gender,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,workout_type,water_intake,workout_frequency,experience_level,bmi,age_category,weight_category,bmi_category
20.0,Male,55.0,1.6,172.0,168.0,67.0,1.12,1035.0,Yoga,3.2,4.0,2.0,21.48,0-29,40-59,healthy
39.0,Female,60.6,1.65,162.0,167.0,63.0,0.92,768.0,HIIT,1.7,3.0,1.0,22.26,30-39,60-79,healthy
54.0,Female,75.6,1.72,194.0,154.0,60.0,0.97,672.0,Cardio,1.9,3.0,1.0,25.55,50-100,60-79,overweight
24.0,Female,58.9,1.51,187.0,157.0,68.0,1.04,816.0,Cardio,2.5,2.0,1.0,25.83,0-29,40-59,overweight
20.0,Female,65.4,1.52,185.0,127.0,50.0,1.03,654.0,Yoga,2.2,4.0,2.0,28.31,0-29,60-79,overweight
19.0,Female,64.3,1.63,197.0,132.0,57.0,1.87,1234.0,Cardio,2.7,5.0,3.0,24.2,0-29,60-79,healthy
19.0,Female,65.2,1.52,188.0,130.0,71.0,1.23,800.0,Cardio,2.4,3.0,1.0,28.22,0-29,60-79,overweight
54.0,Male,78.4,1.9,174.0,146.0,72.0,0.81,585.0,Yoga,3.7,2.0,1.0,21.72,50-100,60-79,healthy
53.0,Female,52.4,1.57,171.0,149.0,71.0,1.34,898.0,HIIT,2.2,3.0,2.0,21.26,50-100,40-59,healthy
30.0,Male,113.4,1.91,177.0,137.0,54.0,1.27,957.0,HIIT,3.7,3.0,1.0,31.08,30-39,100-130,obesity
22.0,Male,86.2,1.9,186.0,128.0,58.0,1.91,1345.0,Strength,3.5,5.0,3.0,23.88,0-29,80-99,healthy
34.0,Female,54.2,1.52,190.0,132.0,60.0,1.13,746.0,Cardio,2.2,3.0,1.0,23.46,30-39,40-59,healthy
57.0,Female,78.4,1.62,185.0,149.0,52.0,1.01,677.0,Strength,2.0,4.0,2.0,29.87,50-100,60-79,overweight
46.0,Male,108.8,1.64,185.0,169.0,63.0,1.4,1171.0,Strength,3.4,3.0,1.0,40.45,40-49,100-130,sever obesity
58.0,Female,66.1,1.75,169.0,128.0,57.0,0.63,363.0,Cardio,1.8,2.0,1.0,21.58,50-100,60-79,healthy
25.0,Female,63.8,1.68,198.0,165.0,67.0,0.95,784.0,Cardio,1.9,2.0,1.0,22.6,0-29,60-79,healthy
