age,gender,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,workout_type,water_intake,workout_frequency,experience_level,bmi,age_category,weight_category,bmi_category
20,Male,55.0,1.6,172,168,67,1.12,1035.0,Yoga,3.2,4,2,21.48,0-29,40-59,healthy
39,Female,60.6,1.65,162,167,63,0.92,768.0,HIIT,1.7,3,1,22.26,30-39,60-79,healthy
54,Female,75.6,1.72,194,154,60,0.97,672.0,Cardio,1.9,3,1,25.55,50-100,60-79,overweight
24,Female,58.9,1.51,187,157,68,1.04,816.0,Cardio,2.5,2,1,25.83,0-29,40-59,overweight
20,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,2.2,4,2,28.31,0-29,60-79,overweight
19,Female,64.3,1.63,197,132,57,1.87,1234.0,Cardio,2.7,5,3,24.2,0-29,60-79,healthy
19,Female,65.2,1.52,188,130,71,1.23,800.0,Cardio,2.4,3,1,28.22,0-29,60-79,overweight
54,Male,78.4,1.9,174,146,72,0.81,585.0,Yoga,3.7,2,1,21.72,50-100,60-79,healthy
53,Female,52.4,1.57,171,149,71,1.34,898.0,HIIT,2.2,3,2,21.26,50-100,40-59,healthy
30,Male,113.4,1.91,177,137,54,1.27,957.0,HIIT,3.7,3,1,31.08,30-39,100-130,obesity
22,Male,86.2,1.9,186,128,58,1.91,1345.0,Strength,3.5,5,3,23.88,0-29,80-99,healthy
34,Female,54.2,1.52,190,132,60,1.13,746.0,Cardio,2.2,3,1,23.46,30-39,40-59,healthy
57,Female,78.4,1.62,185,149,52,1.01,677.0,Strength,2.0,4,2,29.87,50-100,60-79,overweight
46,Male,108.8,1.64,185,169,63,1.4,1171.0,Strength,3.4,3,1,40.45,40-49,100-130,sever obesity
58,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,1.8,2,1,21.58,50-100,60-79,healthy
25,Female,63.8,1.68,198,165,67,0.95,784.0,Cardio,1.9,2,1,22.6,0-29,60-79,healthy
40,Male,76.9,1.92,179,137,68,1.13,851.0,Yoga,3.7,4,2,20.86,40-49,60-79,healthy
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,1.5,3,1,23.53,0-29,60-79,healthy
51,Female,78.1,1.51,193,134,74,0.92,555.0,Strength,2.6,3,1,34.25,50-100,60-79,obesity
43,Female,72.7,1.8,162,166,50,0.79,590.0,Cardio,2.1,3,1,22.44,40-49,60-79,healthy
58,Female,44.2,1.57,183,155,59,1.08,753.0,HIIT,2.3,3,1,17.93,50-100,40-59,under weight
52,Male,47.8,1.86,179,129,67,1.01,645.0,Yoga,2.8,3,2,13.82,50-100,40-59,under weight
49,Female,49.2,1.54,179,153,63,1.28,881.0,HIIT,2.1,3,2,20.75,40-49,40-59,healthy
18,Female,58.1,1.61,175,150,71,1.9,1425.0,Yoga,2.7,4,3,22.41,0-29,40-59,healthy
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,2.3,4,2,24.71,30-39,60-79,healthy
25,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,2.1,4,2,15.7,0-29,40-59,under weight
49,Male,70.2,1.89,194,127,51,0.7,440.0,Yoga,2.6,3,1,19.65,40-49,60-79,healthy
37,Female,69.5,1.5,196,130,66,0.69,448.0,Cardio,2.4,2,1,30.89,30-39,60-79,obesity
29,Male,125.9,2.0,186,152,67,1.36,1137.0,Strength,3.1,4,2,31.48,0-29,100-130,obesity
50,Male,45.4,1.67,163,158,62,1.37,1071.0,Yoga,2.8,4,2,16.28,50-100,40-59,under weight
52,Female,63.1,1.54,185,165,67,1.36,1010.0,Strength,1.8,3,2,26.61,50-100,60-79,overweight
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,2.7,5,3,20.55,50-100,40-59,healthy
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,1.6,3,1,22.78,0-29,60-79,healthy
